,Anchors,Precisions,Classes,Predicted Sales,Dates,ESales
0,"['870.00 < CompetitionDistance <= 1700.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'CompetitionOpenSinceYear <= 2010.00', 'Assortment = Basic', 'DayOfWeek = Saturday', 'Promo2SinceWeek <= 0.00', 'Promo = Yes', 'Month = Jul', 'Promo2SinceYear <= 2013.00']",0.5120540019286403,3.0,5294.01,2015-07-31,5263
1,"['870.00 < CompetitionDistance <= 1700.00', 'DayOfWeek = Friday', 'Assortment = Basic', '3.00 < CompetitionOpenSinceMonth <= 9.00', '0.00 < CompetitionOpenSinceYear <= 2010.00', 'Promo = Yes', 'Promo2SinceYear <= 2011.00']",0.46783819628647216,3.0,4741.8687,2015-07-30,5020
2,"['870.00 < CompetitionDistance <= 1700.00', 'DayOfWeek = Thursday', 'Assortment = Basic', 'Promo2SinceYear <= 0.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Promo2SinceWeek <= 0.00', '0.00 < CompetitionOpenSinceYear <= 2010.00', 'Promo = Yes']",0.43167155425219944,3.0,4705.538,2015-07-29,4782
3,"['Promo2SinceWeek <= 0.00', 'Assortment = Basic', '870.00 < CompetitionDistance <= 1700.00', '0.00 < CompetitionOpenSinceYear <= 2010.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Promo = Yes', 'Promo2SinceYear <= 2013.00']",0.3790419161676647,3.0,4999.7803,2015-07-28,5011
4,"['870.00 < CompetitionDistance <= 1700.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Promo2SinceYear <= 2011.00', 'Assortment = Basic', 'Promo2SinceWeek <= 14.00', 'Month = Jul', 'Promo = Yes']",0.3411764705882353,3.0,5732.084,2015-07-27,6102
5,"['Promo = No', 'Assortment = Basic', 'DayOfWeek = Sunday', '870.00 < CompetitionDistance <= 1700.00', 'Month = Jul', 'Promo2SinceYear <= 2013.00', 'CompetitionOpenSinceYear <= 2010.00']",0.754302103250478,2.0,3840.3315,2015-07-25,4364
6,"['Assortment = Basic', 'Promo = No', '870.00 < CompetitionDistance <= 1700.00', 'Month = Jul', 'Promo2SinceYear <= 2011.00', '0.00 < CompetitionOpenSinceYear <= 2010.00', 'CompetitionOpenSinceMonth <= 9.00']",0.5929152148664344,2.0,3795.3796,2015-07-24,3706
7,"['Assortment = Basic', 'Promo = No', '6.00 < CompetitionOpenSinceMonth <= 9.00', '0.00 < CompetitionOpenSinceYear <= 2010.00', '870.00 < CompetitionDistance <= 1700.00', 'Month = Jul', 'Promo2SinceYear <= 2013.00']",0.5541237113402062,2.0,3826.1768,2015-07-23,3769
8,"['Promo = No', 'Assortment = Basic', 'Promo2SinceYear <= 2011.00', '870.00 < CompetitionDistance <= 1700.00', '0.00 < CompetitionOpenSinceYear <= 2010.00', 'DayOfWeek = Thursday', '3.00 < CompetitionOpenSinceMonth <= 9.00', 'Month = Jul']",0.6579150579150579,2.0,3677.872,2015-07-22,3464
9,"['Assortment = Basic', 'Promo = No', '870.00 < CompetitionDistance <= 1700.00', 'Month = Jul', 'CompetitionOpenSinceYear <= 2010.00', 'Promo2SinceYear <= 2011.00', 'CompetitionOpenSinceMonth <= 9.00', 'DayOfWeek = Wednesday']",0.6524908869987849,2.0,3753.4233,2015-07-21,3558
10,"['Assortment = Basic', 'Promo = No', '870.00 < CompetitionDistance <= 1700.00', 'Month = Jul', '0.00 < CompetitionOpenSinceYear <= 2010.00', 'Promo2SinceYear <= 2011.00', '0.00 < CompetitionOpenSinceMonth <= 9.00']",0.6053984575835476,2.0,4321.143,2015-07-20,4395
11,"['Promo = No', 'Assortment = Basic', 'DayOfWeek = Sunday', 'Month = Jul', 'CompetitionOpenSinceMonth > 6.00', '330.00 < CompetitionDistance <= 1700.00', 'Promo2SinceYear <= 2013.00']",0.7504708097928436,2.0,4159.1216,2015-07-18,4406
12,"['870.00 < CompetitionDistance <= 1700.00', 'Assortment = Basic', '0.00 < CompetitionOpenSinceYear <= 2010.00', 'DayOfWeek = Saturday', 'Promo2SinceYear <= 2011.00', '3.00 < CompetitionOpenSinceMonth <= 9.00', 'Promo = Yes', 'Month = Jul', 'Promo2SinceWeek <= 14.00']",0.48613469156762873,3.0,4689.68,2015-07-17,4852
13,"['870.00 < CompetitionDistance <= 1700.00', 'DayOfWeek = Friday', 'Assortment = Basic', 'CompetitionOpenSinceYear <= 2010.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Promo2SinceWeek <= 0.00', 'Promo = Yes']",0.48043956043956043,3.0,4691.367,2015-07-16,4427
14,"['870.00 < CompetitionDistance <= 1700.00', 'DayOfWeek = Thursday', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Assortment = Basic', 'Promo2SinceWeek <= 0.00', '0.00 < CompetitionOpenSinceYear <= 2010.00', 'Promo = Yes', 'Promo2SinceYear <= 2013.00']",0.46616871704745166,3.0,4980.308,2015-07-15,4767
